country,mam_tot,mam_thr,mam_EXEW,bir_tot,bir_thr,bir_EXEW,rep_tot,rep_thr,rep_EXEW,amp_tot,amp_thr,amp_EXEW,
Algeria,1,0,0,1,1,0,3,1,0,1,1,0,
Egypt,5,0,0,0,0,0,3,0,0,1,0,0,
Libya,2,0,0,0,0,0,0,0,0,0,0,0,
Morocco,4,2,0,0,0,0,12,4,0,2,2,0,
Tunisia,1,0,0,0,0,0,1,1,0,0,0,0,
Western Sahara,0,0,0,0,0,0,1,0,0,0,0,0,
Angola,11,0,0,18,8,0,26,1,0,20,0,0,
Benin,0,0,0,0,0,0,2,0,0,0,0,0,
Botswana,0,0,0,0,0,0,1,0,0,0,0,0,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,
Burundi,1,1,0,0,0,0,0,0,0,1,0,0,
Cabo Verde,0,0,0,5,2,0,22,4,1,0,0,0,
Cameroon,19,14,0,6,5,0,21,10,0,65,46,0,
Central African Republic,2,0,0,0,0,0,2,0,0,7,0,0,
Chad,0,0,0,0,0,0,0,0,0,1,0,0,
Comoros,4,2,0,21,11,0,9,4,0,0,0,0,
Congo,4,1,0,0,0,0,0,0,0,2,1,0,
Democratic Republic of Congo,40,13,0,15,8,0,33,6,0,57,11,0,
Côte d'Ivoire,0,0,0,0,0,0,3,0,0,4,2,0,
Djibouti,0,0,0,1,1,0,1,0,0,0,0,0,
Equatorial Guinea,4,4,0,5,2,0,8,0,0,2,1,0,
Eritrea,0,0,0,0,0,0,2,0,0,1,0,0,
Eswatini,0,0,0,0,0,0,1,0,0,0,0,0,
Ethiopia,46,20,0,19,6,0,14,1,0,26,12,0,
Gabon,2,0,0,1,0,0,4,0,0,6,3,0,
Gambia,0,0,0,0,0,0,1,0,0,0,0,0,
Ghana,1,0,0,0,0,0,3,0,0,5,4,0,
Guinea,3,3,0,0,0,0,4,2,0,8,4,0,
Guinea-Bissau,0,0,0,0,0,0,1,0,0,0,0,0,
Kenya,19,7,0,12,7,0,34,11,0,21,11,0,
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,
Liberia,0,0,0,0,0,0,1,0,0,3,0,0,
Madagascar,212,127,4,119,31,2,375,133,0,310,147,0,
Malawi,3,1,0,1,1,0,6,3,0,4,2,0,
Mali,1,0,0,0,0,0,1,0,0,1,0,0,
Mauritania,1,0,0,0,0,0,2,0,0,0,0,0,
Mauritius,2,2,0,28,6,19,21,10,9,0,0,0,
Mayotte,0,0,0,2,1,0,7,3,0,3,1,0,
Mozambique,3,2,0,2,2,0,25,5,0,6,4,0,
Namibia,3,0,0,1,0,0,43,1,0,4,0,0,
Niger,0,0,0,0,0,0,0,0,0,0,0,0,
Nigeria,6,3,0,3,1,0,8,3,0,2,2,0,
Réunion,1,0,0,17,2,11,5,1,4,0,0,0,
Rwanda,1,1,0,0,0,0,2,0,0,3,1,0,
"Saint Helena, Ascension and Tristan da Cunha",0,0,0,17,8,8,0,0,0,0,0,0,
Sao Tome and Principe,6,3,0,29,12,0,15,2,0,7,3,0,
Senegal,0,0,0,0,0,0,2,0,0,0,0,0,
Seychelles,3,2,0,17,8,3,16,8,1,11,6,0,
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,
Somalia,9,0,0,7,0,0,45,0,0,4,0,0,
South Africa,41,15,1,18,6,0,137,19,2,60,16,0,
South Sudan,2,0,0,0,0,0,2,0,0,0,0,0,
Sudan,9,0,0,1,0,0,3,0,0,0,0,0,
Tanzania,36,19,0,36,14,0,90,29,0,89,58,1,
Togo,1,0,0,0,0,0,0,0,0,1,0,0,
Uganda,2,1,0,1,0,0,2,1,0,2,0,0,endemic
Zambia,7,2,0,3,2,0,2,0,0,2,0,0,
Zimbabwe,1,0,0,0,0,0,4,2,0,4,3,0,
China,94,19,1,69,13,0,145,23,0,258,122,1,
Hong Kong,0,0,0,0,0,0,5,2,0,1,1,0,
Japan,48,18,1,24,8,4,45,16,0,82,45,0,
North Korea,0,0,0,0,0,0,1,0,0,0,0,0,
South Korea,0,0,0,0,0,0,0,0,0,9,7,0,
Macao,0,0,0,0,0,0,0,0,0,0,0,0,
Mongolia,1,0,0,0,0,0,0,0,0,0,0,0,
Taiwan,19,0,0,29,1,0,21,4,0,18,10,0,
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,
Moldova,0,0,0,0,0,0,0,0,0,0,0,0,
Russia,21,2,0,2,0,1,3,2,0,1,0,0,
Ukraine,2,2,0,0,0,0,1,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,2,0,0,
Bhutan,0,0,0,0,0,0,2,1,0,1,0,0,
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,
Cambodia,0,0,0,2,0,0,4,2,0,8,7,0,
India,55,32,0,75,20,0,309,69,0,304,131,0,
Indonesia,315,144,1,544,87,0,346,51,0,224,24,0,
Laos,5,1,0,1,0,0,25,9,0,8,5,0,
Malaysia,27,6,0,9,2,0,158,34,0,109,33,0,
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,
Myanmar,7,2,0,9,1,0,52,10,0,27,5,0,
Nepal,2,0,0,1,0,0,10,3,0,5,1,0,
Philippines,134,30,0,260,65,0,257,27,0,95,27,0,
Singapore,1,0,0,0,0,0,0,0,0,1,0,0,
Sri Lanka,18,15,0,31,8,0,144,105,0,100,71,18,
Thailand,7,4,1,3,2,0,78,10,0,16,7,0,
Timor-Leste,1,1,0,0,0,0,0,0,0,0,0,0,
Vietnam,20,6,0,7,4,0,122,35,0,65,44,0,
Afghanistan,0,0,0,1,0,0,5,0,0,1,1,0,
Armenia,1,1,0,0,0,0,0,0,0,0,0,0,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,
Cyprus,1,0,0,1,0,0,4,0,0,2,1,0,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,
Iran,10,1,0,1,0,0,32,3,0,3,2,0,
Iraq,1,1,0,0,0,0,0,0,0,0,0,0,
Israel,1,0,0,0,0,0,0,0,0,1,1,0,
Jordan,0,0,0,0,0,0,1,1,0,0,0,0,
Kazakhstan,5,0,0,0,0,0,1,0,0,0,0,0,
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,
Kyrgyzstan,1,0,0,0,0,0,4,0,0,0,0,0,
Lebanon,0,0,0,0,0,0,1,1,0,0,0,0,
Oman,0,0,0,0,0,0,20,2,0,0,0,0,
Pakistan,3,1,0,0,0,0,30,0,0,1,0,0,
Palestine,0,0,0,0,0,0,0,0,0,0,0,0,
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,
Saudi Arabia,0,0,0,1,1,0,4,0,0,0,0,0,
Syria,1,0,0,0,0,0,0,0,0,0,0,0,
Tajikistan,0,0,0,0,0,0,2,1,0,0,0,0,
Turkey,8,0,0,0,0,0,19,7,0,12,9,0,
Turkmenistan,0,0,0,0,0,0,1,1,0,0,0,0,
United Arab Emirates,0,0,0,0,0,0,1,1,0,0,0,0,
Uzbekistan,0,0,0,0,0,0,1,0,0,0,0,0,
Yemen,4,2,1,10,2,0,44,1,0,1,0,0,
Albania,0,0,0,0,0,0,0,0,0,0,0,0,
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,
France,1,1,0,1,1,0,0,0,0,3,0,0,
Germany,0,0,0,0,0,0,0,0,0,0,0,0,
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,
Greece,2,1,0,0,0,0,14,2,0,3,3,0,
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,
Italy,7,2,0,0,0,0,5,1,0,11,8,0,
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,
Malta,0,0,0,0,0,0,1,0,0,0,0,0,
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,
Montenegro,0,0,0,0,0,0,1,0,0,0,0,0,
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,
Norway,0,0,0,0,0,0,0,0,0,0,0,0,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,
Portugal,1,1,0,5,3,0,1,0,0,2,0,0,
Romania,2,2,0,0,0,0,0,0,0,0,0,0,
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,
